athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type,multiple_sr
"omar, mohamed",weightlifting,clomiphene,2-year suspension; loss of results;,2019-05-07,FALSE,FALSE,FALSE,analytical,FALSE
"tisinger-ledkins, janel",racquetball,octopamine,16-month suspension; loss of results,2019-05-02,FALSE,FALSE,FALSE,analytical,FALSE
"costa, carlos",mixed martial arts,non-analytical: possession and administration,6-month suspension,2019-04-26,FALSE,FALSE,FALSE,non-analytical,TRUE
"costa, paulo",mixed martial arts,non-analytical: intravenous infusion,6-month suspension,2019-04-26,FALSE,FALSE,FALSE,non-analytical,FALSE
"montano, nicco",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"o'malley, sean",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"vettori, marvin",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"mendes, augusto",mixed martial arts,ostarine,6-month suspension,2019-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"harris, walt",mixed martial arts,lgd-4033,4-month suspension,2019-04-22,FALSE,FALSE,FALSE,analytical,FALSE
"taisumov, mairbek",mixed martial arts,stanozolol,6-month suspension,2019-04-11,FALSE,FALSE,FALSE,analytical,FALSE
"dillashaw, tj",mixed martial arts,recombinant human erythropoietin (rhuepo),2-year suspension,2019-04-09,FALSE,FALSE,FALSE,analytical,FALSE
"murzakanov, azamat",mixed martial arts,boldenone,2-year suspension,2019-04-08,FALSE,FALSE,FALSE,analytical,FALSE
"magomedov, ruslan",mixed martial arts,methyltestosterone; stanozolol,lifetime suspension,2019-04-01,FALSE,FALSE,FALSE,analytical,TRUE
"baratto, joseph",cycling,androgenic anabolic steroid,1-year suspension; loss of results,2019-03-20,FALSE,FALSE,FALSE,analytical,FALSE
"logan, devin",skiing,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-03-01,FALSE,FALSE,FALSE,analytical,FALSE
"schenk, cheyenne",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-02-26,FALSE,FALSE,FALSE,analytical,FALSE
"murtazaliev, khalid",mixed martial arts,drostanolone,2-year suspension,2019-02-22,FALSE,FALSE,FALSE,analytical,FALSE
"collier, jake",mixed martial arts,higenamine,10-month suspension,2019-02-19,FALSE,FALSE,FALSE,analytical,FALSE
"sorensen, ira",cycling,androgenic anabolic steroid,2-year suspension; loss of results,2019-02-12,FALSE,FALSE,FALSE,analytical,FALSE
"pate, jennifer",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2019-02-11,FALSE,FALSE,FALSE,analytical,FALSE
"campbell, rachel",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,2019-02-07,FALSE,FALSE,FALSE,non-analytical,FALSE
"cuicchi, trevor",weightlifting,ostarine,9-month suspension; loss of results,2019-01-28,FALSE,FALSE,FALSE,analytical,FALSE
"juneau scott, cory",skateboarding,cannabinoids,6-month suspension with 3-month deferral - loss of results,2019-01-22,FALSE,FALSE,FALSE,analytical,FALSE
"carrillo, michel",cycling,"erythropoietin (epo); 19‐norandrosterone (19‐na); androgenic-anabolic steroids (aas); clostebol, testosterone",4-year suspension; loss of results,2019-01-18,FALSE,FALSE,FALSE,analytical,TRUE
"maia, jennifer",mixed martial arts,"furosemide; hydrochlorothiazide; chlorothiazide; thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (acb)",6-month suspension,2019-01-15,FALSE,FALSE,FALSE,analytical,TRUE
"brown, robert",weightlifting,heptaminol,9-month suspension; loss of results,2019-01-14,FALSE,FALSE,FALSE,analytical,FALSE
"grove, carl",cycling,trenbolone; clomiphene,public warning,2019-01-04,FALSE,FALSE,FALSE,analytical,TRUE
"pate, david",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2018-12-20,FALSE,FALSE,FALSE,analytical,FALSE
"zeng, laura",gymnastics,acetazolamide,6-month suspension; loss of results,2018-12-19,FALSE,FALSE,FALSE,analytical,FALSE
"sekulic, stefan",mixed martial arts,drostanolone; metandienone,2-year suspension,2018-12-18,FALSE,FALSE,FALSE,analytical,TRUE
"kandare, bharat vijay",mixed martial arts,boldenone; tamoxifen,2-year suspension,2018-12-17,FALSE,FALSE,FALSE,analytical,TRUE
"lopez, enrique",cycling,erythropoietin (epo),4-year suspension - loss of results,2018-11-12,FALSE,FALSE,FALSE,analytical,FALSE
"strickler, steven",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2018-11-07,FALSE,FALSE,FALSE,analytical,FALSE
"reyes, polo",mixed martial arts,ostarine,6-month suspension,2018-10-29,FALSE,FALSE,FALSE,analytical,FALSE
"tanski, jeff",cycling,androgenic anabolic steroid,4-year suspension - loss of results,2018-10-18,FALSE,FALSE,FALSE,analytical,FALSE
"scott, bradley",mixed martial arts,cocaine,2-year suspension; sanction tolled due to retirement,2018-10-16,FALSE,FALSE,FALSE,analytical,FALSE
"gonzalez, mijail",cycling,dexamethasone,4-year suspension - loss of results,2018-10-03,FALSE,FALSE,FALSE,analytical,FALSE
"eyler, bob",archery,cannabinoids; propranolol,2-year suspension - loss of results,2018-10-01,FALSE,FALSE,FALSE,analytical,TRUE
"diaz, raul",cycling,"erythropoietin (epo), dexamethasone",4-year suspension - loss of results,2018-09-27,FALSE,FALSE,FALSE,analytical,TRUE
"butterworth, andrew",weightlifting,stanozolol,42-month suspension - loss of results; sanction tolled due to retirement,2018-09-26,FALSE,FALSE,FALSE,analytical,FALSE
"jones, jon",mixed martial arts,chlorine-substituted anabolic steroid,15-month suspension - loss of results,2018-09-19,FALSE,FALSE,FALSE,analytical,FALSE
"dudeck, cameron",weightlifting,dhcmt,4-year suspension - loss of results,2018-09-17,FALSE,FALSE,FALSE,analytical,FALSE
"bedford, stephen",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2018-09-12,FALSE,FALSE,FALSE,analytical,FALSE
"francis, victoria",wrestling,ostarine,1-year suspension - loss of results,2018-08-31,FALSE,FALSE,FALSE,analytical,FALSE
"ortiz, robert",weightlifting,"1,4‐dimethylpentylamine",16-month suspension - loss of results,2018-08-27,FALSE,FALSE,FALSE,analytical,FALSE
"malinowski, emily",weightlifting,androgenic anabolic steroids,45-month suspension - loss of results,2018-08-24,FALSE,FALSE,FALSE,analytical,FALSE
"payne, demi",track & field,drostanolone,4-year suspension - loss of results,2018-08-24,FALSE,FALSE,FALSE,analytical,FALSE
"gaskins, joshua",weightlifting,androgenic anabolic steroids,2-year suspension - loss of results,2018-08-22,FALSE,FALSE,FALSE,analytical,FALSE
"boss, logan",track & field,canrenone,6-month suspension - loss of results,2018-08-21,FALSE,FALSE,FALSE,analytical,FALSE
"frazier, daniel",cycling,"androgenic anabolic steroid, clomiphene",1-year suspension - loss of results,2018-08-15,FALSE,FALSE,FALSE,analytical,TRUE
"ssekyaaya, charles",weightlifting,"1,3-dimethylbutylamine (dmba)",9-month suspension - loss of results,2018-08-13,FALSE,FALSE,FALSE,analytical,FALSE
"ferraro,  anthony",paralympic judo,cannabinoids,6-month suspension with 3-month deferral - loss of results,2018-08-08,FALSE,FALSE,TRUE,analytical,FALSE
"mazur, bruce",cycling,androgenic anabolic steroids,4-year suspension - loss of results,2018-08-01,FALSE,FALSE,FALSE,analytical,FALSE
"casey, jack",swimming,anastrozole,6-month suspension - loss of results,2018-07-26,FALSE,FALSE,FALSE,analytical,FALSE
"lochte, ryan",swimming,non-analytical: use (iv),14-month suspension,2018-07-23,FALSE,FALSE,FALSE,non-analytical,FALSE
"silva, anderson",mixed martial arts,methyltestosterone; hydrochlorothiazide,1-year suspension,2018-07-18,FALSE,FALSE,FALSE,analytical,TRUE
"meacham, michael",triathlon,androgenic anabolic steroids,1-year suspension - loss of results,2018-06-29,FALSE,FALSE,FALSE,analytical,FALSE
"oleksiejczuk, michał",mixed martial arts,clomiphene,1-year suspension,2018-06-12,FALSE,FALSE,FALSE,analytical,FALSE
"ainslie, roger",cycling,gw1516,42-month suspension - loss of results,2018-06-08,FALSE,FALSE,FALSE,analytical,FALSE
"brown, buster",cycling,androgenic anabolic steroid,2-year suspension - loss of results,2018-06-01,FALSE,FALSE,FALSE,analytical,FALSE
"gross, scott",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2018-05-22,FALSE,FALSE,FALSE,non-analytical,FALSE
"chipangama, jordan",track & field,meldonium,4-year suspension - loss of results,2018-05-15,FALSE,FALSE,FALSE,analytical,FALSE
"colunga, cesar",karate,methylphenidate,4-month suspension - loss of results,2018-05-09,FALSE,FALSE,FALSE,analytical,FALSE
"kendall, amanda",swimming,non-analytical: use (vilanterol),3-month suspension - loss of results,2018-05-08,FALSE,FALSE,FALSE,non-analytical,FALSE
"dahlkemper, abigail",soccer,spironolactone,public warning,2018-05-04,FALSE,FALSE,FALSE,analytical,FALSE
"nogueira, antonio rogerio",mixed martial arts,hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"almeida, junior dos santos",mixed martial arts,hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE,analytical,FALSE
"de lima, marcos rogerio",mixed martial arts,anastrozole; hydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE,analytical,TRUE
"griffin, jason",paralympic cycling,benzoylecgonine and methylecgonine,1-year suspension - loss of results,2018-04-18,FALSE,FALSE,TRUE,analytical,TRUE
"rivera, jessica",weightlifting,stanozolol,4-year suspension -  loss of results,2018-04-16,FALSE,FALSE,FALSE,analytical,FALSE
"miller, barry",cycling,androgenic anabolic steroid,1-year suspension -  loss of results,2018-04-13,FALSE,FALSE,FALSE,analytical,FALSE
"lima, dylan",cycling,testosterone,3-year suspension - loss of results,2018-04-10,FALSE,FALSE,FALSE,analytical,FALSE
"diaz, nick",mixed martial arts,non-analytical: 3 whereabouts failures,1-year supension,2018-04-09,FALSE,FALSE,FALSE,non-analytical,FALSE
"britt, teresa",weightlifting,higenamine,2-year suspension - loss of results,2018-04-09,FALSE,FALSE,FALSE,analytical,FALSE
"rothwell, ben",mixed martial arts,testosterone,2-year suspension,2018-04-06,FALSE,FALSE,FALSE,analytical,FALSE
"palicka, megan",weightlifting,ostarine and rad140,3-year suspension - loss of results; sanction tolled due to retirement,2018-04-06,FALSE,FALSE,FALSE,analytical,TRUE
"volrath, frank",weightlifting,"ostarine, rad140, ibutamoren",4-year suspension - loss of results; sanction tolled due to retirement,2018-04-05,FALSE,FALSE,FALSE,analytical,TRUE
"gough, nicholas",triathlon,erythropoietin (epo),4-year suspension - loss of results,2018-04-02,FALSE,FALSE,FALSE,analytical,FALSE
"rosiek, julie",triathlon,androgenic anabolic steroid,2-year suspension - loss of results,2018-03-30,FALSE,FALSE,FALSE,analytical,FALSE
"raymond, abby",weightlifting,ostarine,3-month suspension - loss of results,2018-03-29,FALSE,FALSE,FALSE,analytical,FALSE
"lemos, amanda",mixed martial arts,stanozolol,2-year suspension,2018-03-28,FALSE,FALSE,FALSE,analytical,FALSE
"barnett, josh",mixed martial arts,ostarine,public warning,2018-03-23,FALSE,FALSE,FALSE,analytical,FALSE
"jarrett, kaitlyn",weightlifting,higenamine,1-year suspension - loss of results,2018-03-23,FALSE,FALSE,FALSE,analytical,FALSE
"roman, lazaro",weightlifting,"higenamine, clomiphene, dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,2018-03-09,FALSE,FALSE,FALSE,analytical,TRUE
"cutelaba, ion",mixed martial arts,non-analytical: blood transfusion,6-month suspension,2018-03-08,FALSE,FALSE,FALSE,non-analytical,FALSE
"calvillo, cynthia",mixed martial arts,cannabinoids,6-month suspension,2018-03-07,FALSE,FALSE,FALSE,analytical,FALSE
"alexandrov, mihail (mike)",swimming,benzoylecgonine and methylecgonine,1-year suspension - loss of results,2018-03-06,FALSE,FALSE,FALSE,analytical,TRUE
"anyanwu, azunna",mixed martial arts,furosemide,1-year suspension,2018-03-02,FALSE,FALSE,FALSE,analytical,FALSE
"tukhugov, zubaira",mixed martial arts,ostarine,2-year suspension,2018-02-15,FALSE,FALSE,FALSE,analytical,FALSE
"magomedov, ruslan",mixed martial arts,ostarine,2-year suspension,2018-02-15,FALSE,FALSE,FALSE,analytical,FALSE
"wallhead, jim",mixed martial arts,ostarine,9-month suspension,2018-02-06,FALSE,FALSE,FALSE,analytical,FALSE
"de tomas, carls john",mixed martial arts,furosemide,1-year suspension,2018-02-05,FALSE,FALSE,FALSE,analytical,FALSE
"mulheron, james",mixed martial arts,clomiphene,1-year suspension,2018-01-30,FALSE,FALSE,FALSE,analytical,FALSE
"less, david",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,2018-01-29,FALSE,FALSE,FALSE,non-analytical,FALSE
"webb, craig",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2018-01-26,FALSE,FALSE,FALSE,non-analytical,FALSE
"schumm, jennifer",cycling,testosterone,4-year suspension - loss of results,2018-01-25,FALSE,FALSE,FALSE,analytical,FALSE
"jackson, sharon",racquetball,spironolactone,public warning,2018-01-24,FALSE,FALSE,FALSE,analytical,FALSE
"harrison, marck",boccia,chlorthalidone,public warning,2018-01-24,FALSE,FALSE,FALSE,analytical,FALSE
"travis, alyssa",weightlifting,non-analytical: refusal to submit to sample: collection,4-year suspension - loss of results,2018-01-23,FALSE,FALSE,FALSE,non-analytical,FALSE
"grayson, lemuel",weightlifting,hydrochlorothiazide,public warning,2018-01-22,FALSE,FALSE,FALSE,analytical,FALSE
"beyer, bill",triathlon,testosterone,2-year suspension - loss of results,2018-01-19,FALSE,FALSE,FALSE,analytical,FALSE
"rivera, francisco",mixed martial arts,clenbuterol,4-year suspension,2018-01-19,FALSE,FALSE,FALSE,analytical,FALSE
"oliver, jordan",wrestling,amphetamine,1-year suspension - loss of results,2018-01-09,FALSE,FALSE,FALSE,analytical,FALSE
"penne, jessica",mixed martial arts,dehydroepiandrosterone (dhea),18-month suspension,2018-01-05,FALSE,FALSE,FALSE,analytical,FALSE
"vennera, james",archery,metoprolol,public warning,2018-01-05,FALSE,FALSE,FALSE,analytical,FALSE
"miller, jeffery",cycling,"testosterone, human growth hormone (hgh), oxandrolone",4-year suspension - loss of results,2017-12-28,FALSE,FALSE,FALSE,analytical,TRUE
"patel, vikas",track & field,non-analytical: ostarine,4-year suspension - loss of results; sanction tolled due to retirement,2017-12-27,FALSE,FALSE,FALSE,non-analytical,FALSE
"wolter, kenna",track & field,"non-analytical: ostarine, methylstenbolone",2-year suspension - loss of results,2017-12-22,FALSE,FALSE,FALSE,non-analytical,TRUE
"sanford, jonathan",track & field,non-analytical: use and possession (ostarine),1-year suspension - loss of results,2017-12-21,FALSE,FALSE,FALSE,non-analytical,TRUE
"zoda, michael",weightlifting,non-analytical: possession (peptides),2-year suspension - loss of results,2017-12-20,FALSE,FALSE,FALSE,non-analytical,FALSE
"polk, tori",track & field,non-analytical: possession (peptides),2-year suspension - loss of results,2017-12-15,FALSE,FALSE,FALSE,non-analytical,FALSE
"harroufi, abdelmounaim",track & field,non-analytical: use and possession (aicar),4-year suspension - loss of results,2017-12-08,FALSE,FALSE,FALSE,non-analytical,TRUE
"henderson, jay",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,2017-12-07,FALSE,FALSE,FALSE,analytical,FALSE
"boss, logan",track & field,canrenone,public warning,2017-12-06,FALSE,FALSE,FALSE,analytical,FALSE
"owusu-nyantekyi, nana",track & field,non-analytical: use and possession (ostarine),1-year suspension from 1/8/2017 - loss of results from 8/25/2015,2017-12-04,FALSE,FALSE,FALSE,non-analytical,TRUE
"blandford, jenna","cycling, triathlon","non-analytical: use and possession (testosterone, hgh and oxandrolone)",4-year suspension - loss of results,2017-11-28,FALSE,TRUE,FALSE,non-analytical,TRUE
"dates, royce",track & field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,2017-11-21,FALSE,FALSE,FALSE,non-analytical,TRUE
"roberts, lisa",triathlon,vilanterol,public warning - loss of results,2017-11-10,FALSE,FALSE,FALSE,analytical,FALSE
"bell, kenwood (kenta)",track & field - athlete support personnel,"non-analytical: possession, adminstration and complicity",lifetime; second violation,2017-11-08,TRUE,FALSE,FALSE,non-analytical,TRUE
"westbrook, atlanta",track & field,non-analytical: use and possession (ostarine),4-year suspension - loss of results,2017-11-03,FALSE,FALSE,FALSE,non-analytical,TRUE
"felipe cabral de almeida, carlos",mixed martial arts,stanozolol metabolites,2-year suspension,2017-10-20,FALSE,FALSE,FALSE,analytical,FALSE
"taylor, jesse",mixed martial arts,clomiphene,1-year suspension,2017-10-13,FALSE,FALSE,FALSE,analytical,FALSE
"vance, shaquille",paralympic track & field,non-analytical: evading sample collection,4 year suspension with 1 year reduction - loss of results,2017-10-10,FALSE,FALSE,TRUE,non-analytical,FALSE
"roehrick, nick",mixed martial arts,clomiphene and its metabolite,1-year suspension,2017-09-21,FALSE,FALSE,FALSE,analytical,TRUE
"schiefer, john",cycling,clomiphene and its metabolite,6-month suspension - loss of results,2017-09-06,FALSE,FALSE,FALSE,analytical,TRUE
"wuebben, zachary",weightlifting,clomiphene and methylphenidate metabolite ritalinic acid,4-year suspension - loss of results,2017-08-31,FALSE,FALSE,FALSE,analytical,TRUE
"heinzl, sarah",paralympic basketball,non-analytical: use (higenamine),public warning,2017-08-29,FALSE,FALSE,TRUE,non-analytical,FALSE
"leogrande, kayle",cycling,"raloxifene, ostarine, ibutamoren, gw1516 sulfone, rad140, lgd4033, andarine",8-year suspension - loss of results,2017-08-28,FALSE,FALSE,FALSE,analytical,TRUE
"herbert, zack",weightlifting,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results; sanction tolled due to retirement; unretired - eligible to compete starting 3/7/2020,2017-08-22,FALSE,FALSE,FALSE,non-analytical,FALSE
"cannetti, guido",mixed martial arts,"hydrochlorothiazide, chlorothiazide, ostarine and stanozolol metabolites",10-month suspension,2017-08-18,FALSE,FALSE,FALSE,analytical,TRUE
"acevedo-fuller, carlee",weightlifting,"higenamine, 1,4-dimethylpentylamine",9-month suspension - loss of results,2017-08-16,FALSE,FALSE,FALSE,analytical,TRUE
"goodwin, marquise",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2017-08-15,FALSE,FALSE,FALSE,non-analytical,FALSE
"carter, chris",track & field,ostarine,9-month suspension - loss of results,2017-08-11,FALSE,FALSE,FALSE,analytical,FALSE
"blazejack, tony",cycling,clenbuterol,4-year suspension - loss of results,2017-08-08,FALSE,FALSE,FALSE,analytical,FALSE
"stohr, riley",luge,cannabinoids,6-month suspension - loss of results; sanction tolled due to retirement,2017-07-27,FALSE,FALSE,FALSE,analytical,FALSE
"cruse, j.c.",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,2017-07-20,FALSE,TRUE,FALSE,analytical,FALSE
"bushey, kayla",track & field,non-analytical: use and possession,2-year suspension - loss of results,2017-07-19,FALSE,FALSE,FALSE,non-analytical,TRUE
"mcpherson, scott",track & field,androgenic anabolic steroid,4-year suspension - loss of results; sanction tolled due to retirement,2017-07-17,FALSE,FALSE,FALSE,analytical,FALSE
"nguyen, tam",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2017-07-14,FALSE,FALSE,FALSE,non-analytical,FALSE
"johnson, gea",cycling,modafinil,21-month suspension - loss of results,2017-07-07,FALSE,FALSE,FALSE,analytical,FALSE
"barnes, benjamin",weightlifting,gw1516,4-year suspension - loss of results,2017-06-30,FALSE,FALSE,FALSE,analytical,FALSE
"bayer, david",weightlifting,clomiphene and gw1516,2.5-year suspension - loss of results,2017-06-30,FALSE,FALSE,FALSE,analytical,TRUE
"sullivan, george",mixed martial arts,clomiphene and its metabolite,1-year suspension; second violation,2017-06-20,FALSE,FALSE,FALSE,analytical,TRUE
"gibilaro, ariel",archery,canrenone,public warning,2017-06-16,FALSE,FALSE,FALSE,analytical,FALSE
"dykes, kelly",weightlifting,ostarine,8-year suspension - loss of results; second violation,2017-06-08,FALSE,FALSE,FALSE,analytical,FALSE
"park, peter",paralympic track & field,androgenic anabolic steroid,21-month suspension - loss of results,2017-06-08,FALSE,FALSE,TRUE,analytical,FALSE
"nackoul, michael",weightlifting,non-analytical: possession (peptides),4-year suspension - loss of results,2017-06-02,FALSE,FALSE,FALSE,non-analytical,FALSE
"dosterschill, robert kyle",weightlifting,"androgenic anabolic steroid, amphetamine, drostanolone, mesterolone and dehydrochloromethyltestosterone (dhcmt)",4-year suspension - loss of results,2017-05-31,FALSE,FALSE,FALSE,analytical,TRUE
"moore, tyler",weightlifting,ostarine,4-year suspension - loss of results; sanction tolled due to retirement,2017-05-26,FALSE,FALSE,FALSE,analytical,FALSE
"creveling, chris",speedskating,clomiphene,4-year suspension - loss of results; sanction tolled due to retirement,2017-05-15,FALSE,FALSE,FALSE,analytical,FALSE
"young, jason",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2017-05-12,FALSE,FALSE,FALSE,non-analytical,TRUE
"gastelum, kelvin",mixed martial arts,cannabinoids,6-month suspension with 3-month deferral,2017-05-11,FALSE,FALSE,FALSE,analytical,FALSE
"gingras, michael",weightlifting - athlete support personnel,"non-analytical: possession, trafficking, and administration",lifetime suspension with reduction  to 12 years - loss of results; sanction tolled due to retirement,2017-05-11,TRUE,FALSE,FALSE,non-analytical,TRUE
"oliver, imani",track & field,ostarine,1-year suspension - loss of results,2017-05-09,FALSE,FALSE,FALSE,analytical,FALSE
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid & 19-norandrosterone (19-na),4-year suspension: sanction is tolled until athlete returns from retirement. second violation.,2017-05-05,FALSE,FALSE,FALSE,analytical,TRUE
"moore, darien",track & field,methandienone,4-year suspension - loss of results,2017-05-04,FALSE,FALSE,FALSE,analytical,FALSE
"harvey, scot",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,2017-05-03,FALSE,FALSE,FALSE,non-analytical,FALSE
"nielson, cliff",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results,2017-05-02,FALSE,FALSE,FALSE,non-analytical,TRUE
"beckwith-ludlow, molly",track & field,clomiphene,public warning,2017-05-01,FALSE,FALSE,FALSE,analytical,FALSE
"mir, francisco",mixed martial arts,dehydrochloromethyltestosterone (dhcmt),2-year suspension,2017-04-21,FALSE,FALSE,FALSE,analytical,FALSE
"rollins, brianna",track & field,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,2017-04-20,FALSE,FALSE,FALSE,non-analytical,FALSE
"geving, amanda",cycling,acetazolamide,12-month suspension - loss of results,2017-04-19,FALSE,FALSE,FALSE,analytical,FALSE
"schrodt, patrick ""dillon""",bobsled and skeleton,dimethylbutylamine (dmba),16-month suspension - loss of results,2017-04-06,FALSE,TRUE,FALSE,analytical,FALSE
"ledet, justin",mixed martial arts,1-testosterone and 1-androstenedione,4-month suspension,2017-04-05,FALSE,FALSE,FALSE,analytical,TRUE
"good, lyman",mixed martial arts,1-androstenedione and its metabolite,6-month suspension,2017-04-03,FALSE,FALSE,FALSE,analytical,TRUE
"nicolau pereira, matheus",mixed martial arts,anastrozole,1-year suspension,2017-03-29,FALSE,FALSE,FALSE,analytical,FALSE
"hall, mary",weightlifting,oxandrolone and its metabolite,4-year suspension - loss of results,2017-03-28,FALSE,FALSE,FALSE,analytical,TRUE
"pires nogueira, leonardo",brazilian jiu-jitsu,clomiphene,2-year suspension - loss of results,2017-03-27,FALSE,FALSE,FALSE,analytical,FALSE
"andrade, viscardi",mixed martial arts,stanozolol and its metabolites,2-year suspension,2017-03-21,FALSE,FALSE,FALSE,analytical,TRUE
"dykes, kelly",weightlifting,"clenbuterol, ostarine, and a tamoxifen metabolite",4-year suspension - loss of results,2017-03-16,FALSE,FALSE,FALSE,analytical,TRUE
"green, roderick","paralympic track & field, paralympic volleyball",ostarine,9-month suspension - loss of results,2017-03-14,FALSE,TRUE,TRUE,analytical,FALSE
"prenoveau, robert",paralympic curling,hydrochlorothiazide and chlorothiazide,public warning - loss of results,2017-03-07,FALSE,FALSE,TRUE,analytical,TRUE
"cosby-toruga, jessica",track & field,androgenic anabolic steroid,6-year suspension - loss of results; second violation; sanction tolled due to retirement,2017-03-06,FALSE,FALSE,FALSE,analytical,FALSE
"dawson, gabriel",weightlifting,amphetamine,4-year suspension - loss of results,2017-03-02,FALSE,FALSE,FALSE,analytical,FALSE
"lawlor, tom",mixed martial arts,ostarine,2-year suspension,2017-02-24,FALSE,FALSE,FALSE,analytical,FALSE
"pierik, vincent",weightlifting,"19-norandrosterone (19-na), drostanolone and its metabolites, and epitrenbolone",4-year suspension - loss of results,2017-02-21,FALSE,FALSE,FALSE,analytical,TRUE
"harper-nelson, dawn",track & field,hydrochlorothiazide,3-month suspension - loss of results,2017-02-07,FALSE,FALSE,FALSE,analytical,FALSE
"olivieri, luis felipe",mixed martial arts,methyltestosterone,2-year suspension,2017-01-25,FALSE,FALSE,FALSE,analytical,FALSE
"vrabel, andrew",weightlifting,non-analytical,4-year suspension - loss of results; sanction tolled due to retirement,2017-01-11,FALSE,FALSE,FALSE,non-analytical,FALSE
"chan, charis",weightlifting,epitrenbolone,4-year suspension - loss of results,2017-01-09,FALSE,FALSE,FALSE,analytical,FALSE
"matsushima, angelique",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,2017-01-06,FALSE,FALSE,FALSE,analytical,FALSE
"lesnar, brock",mixed martial arts,clomiphene,1-year suspension,2017-01-04,FALSE,FALSE,FALSE,analytical,FALSE
"lamour, joseph",team handball,amphetamine,2-year suspension - loss of results,2016-12-22,FALSE,FALSE,FALSE,analytical,FALSE
"ferreira, carlos diego",mixed martial arts,ostarine and 7-keto-dhea,17-month suspension,2016-12-21,FALSE,FALSE,FALSE,analytical,TRUE
"mazzie, joseph",roller sports,rad140 and ibutamoren,4-year suspension - loss of results,2016-12-20,FALSE,FALSE,FALSE,analytical,TRUE
"hudson, ryan",weightlifting,stanozolol metabolites,4-year suspension - loss of results,2016-12-15,FALSE,FALSE,FALSE,analytical,FALSE
"mossberg, nick",track & field,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2016-12-14,FALSE,FALSE,FALSE,non-analytical,TRUE
"luton, thomas",cycling,"non-analytical: use and possession (epo, hgh, testosterone)",4-year suspension - loss of results,2016-12-13,FALSE,FALSE,FALSE,non-analytical,TRUE
"reyes, brandon",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,2016-12-07,FALSE,FALSE,FALSE,analytical,FALSE
"moore, nicole",weightlifting,"1,3-dimethylbutylamine (dmba)",6-month suspension - loss of results,2016-12-05,FALSE,FALSE,FALSE,analytical,FALSE
"pinney, ryan",paralympic cycling,androgenic anabolic steroid,18-month suspension - loss of results,2016-12-01,FALSE,FALSE,TRUE,analytical,FALSE
"machida, lyoto",mixed martial arts,7?keto?dhea,18-month suspension,2016-11-16,FALSE,FALSE,FALSE,analytical,FALSE
"sullivan, george",mixed martial arts,non-analytical: use (igf-1),1-year suspension,2016-11-08,FALSE,FALSE,FALSE,non-analytical,FALSE
"dunkum, michael",wrestling,non-analytical: use and possession (peptides),4-year suspension - loss of results; sanction tolled due to retirement,2016-11-07,FALSE,FALSE,FALSE,non-analytical,TRUE
"jones, jon",mixed martial arts,"clomiphene, letrozole",1-year suspension,2016-11-07,FALSE,FALSE,FALSE,analytical,TRUE
"bidlow, cody",track & field,non-analytical:: use (peptides),4-year suspension - loss of results,2016-11-03,FALSE,FALSE,FALSE,non-analytical,FALSE
